Time,CensusTract,NumberOfReports
11/2018,436.0,3
11/2018,39.0,5
11/2018,462.0,5
11/2018,71.0,6
11/2018,409.0,2
11/2018,24.0,6
11/2018,239.0,2
11/2018,510.0,1
11/2018,267.0,2
11/2018,58.0,2
11/2018,381.0,3
11/2018,170.13,1
11/2018,431.01,1
11/2018,656.0,1
11/2018,185.0,2
11/2018,568.0,6
11/2018,87.0,7
11/2018,159.0,4
11/2018,92.0,3
11/2018,1141.0,2
11/2018,405.02,8
11/2018,138.0,2
11/2018,371.0,5
11/2018,519.0,1
11/2018,73.0,2
11/2018,8.0,6
11/2018,1182.02,2
11/2018,353.02,2
11/2018,287.0,7
11/2018,22.01,1
11/2018,417.0,3
11/2018,387.0,2
11/2018,67.0,8
11/2018,550.0,1
11/2018,484.01,1
11/2018,321.0,2
11/2018,551.0,2
11/2018,277.05,1
11/2018,266.0,1
11/2018,514.0,2
11/2018,1441.0,1
11/2018,383.01,1
11/2018,147.01,2
11/2018,289.0,4
11/2018,283.0,4
11/2018,352.0,3
11/2018,420.0,2
11/2018,1118.0,4
11/2018,460.0,4
11/2018,102.0,3
11/2018,69.0,5
11/2018,610.04,1
11/2018,942.02,6
11/2018,241.0,5
11/2018,293.02,6
11/2018,82.0,2
11/2018,407.01,1
11/2018,20.0,1
11/2018,49.0,6
11/2018,229.0,5
11/2018,152.0,7
11/2018,584.0,2
11/2018,243.0,6
11/2018,217.03,1
11/2018,30.0,2
11/2018,162.0,5
11/2018,188.0,3
11/2018,42.0,3
11/2018,40.02,4
11/2018,231.0,5
11/2018,233.0,3
11/2018,279.0,5
11/2018,253.02,1
11/2018,130.0,2
11/2018,29.0,4
11/2018,462.05,7
11/2018,46.0,3
11/2018,4.0,1
11/2018,884.0,1
11/2018,462.03,11
11/2018,20.01,7
11/2018,237.04,1
11/2018,202.0,1
11/2018,13.0,4
11/2018,269.0,3
11/2018,295.0,6
11/2018,12.0,1
11/2018,171.02,2
11/2018,446.02,1
11/2018,1187.0,1
11/2018,383.02,1
11/2018,54.0,2
11/2018,101.0,2
11/2018,243.02,3
11/2018,19.02,1
11/2018,859.0,1
11/2018,214.0,3
11/2018,33.02,1
11/2018,14.0,1
11/2018,80.0,1
11/2018,112.02,2
11/2018,191.0,3
11/2018,32.0,8
11/2018,62.02,1
11/2018,291.04,1
11/2018,219.0,7
11/2018,200.0,2
11/2018,458.0,3
11/2018,224.04,1
11/2018,74.0,4
11/2018,23.0,4
11/2018,1006.0,2
11/2018,462.06,1
11/2018,434.0,3
11/2018,61.0,1
11/2018,892.0,2
11/2018,553.0,1
11/2018,26.01,3
11/2018,766.0,1
11/2018,861.0,1
11/2018,253.01,1
11/2018,319.02,2
11/2018,779.04,2
11/2018,1551.04,1
11/2018,208.06,1
11/2018,1134.0,5
11/2018,431.02,2
11/2018,1184.0,1
11/2018,419.0,7
11/2018,408.0,5
11/2018,99.02,5
11/2018,232.0,6
11/2018,401.0,5
11/2018,18.0,4
11/2018,16.0,2
11/2018,301.0,3
11/2018,88.0,2
11/2018,342.0,7
11/2018,257.0,4
11/2018,212.0,3
11/2018,177.0,3
11/2018,127.01,3
11/2018,307.0,7
11/2018,385.0,1
11/2018,103.0,1
11/2018,139.0,5
11/2018,840.0,4
11/2018,29.02,2
11/2018,1571.02,3
11/2018,26.02,4
11/2018,148.02,1
11/2018,481.0,1
11/2018,664.01,1
11/2018,595.02,1
11/2018,682.0,1
11/2018,816.0,1
11/2018,97.01,1
11/2018,707.0,1
11/2018,176.0,1
11/2018,249.0,4
11/2018,574.0,1
11/2018,263.0,5
11/2018,226.0,2
11/2018,826.0,2
11/2018,246.0,1
11/2018,134.0,6
11/2018,224.0,6
11/2018,181.0,5
11/2018,70.01,1
11/2018,319.0,2
11/2018,135.01,1
11/2018,900.0,2
11/2018,303.01,2
11/2018,1333.0,3
11/2018,34.0,11
11/2018,329.0,1
11/2018,174.0,1
11/2018,612.0,1
11/2018,302.01,4
11/2018,379.0,8
11/2018,347.0,4
11/2018,1014.0,3
11/2018,1471.0,1
11/2018,981.0,1
11/2018,469.01,2
11/2018,187.0,1
11/2018,418.0,1
11/2018,1227.04,4
11/2018,1227.03,2
11/2018,85.0,6
11/2018,56.0,6
11/2018,55.02,3
11/2018,924.0,3
11/2018,154.01,2
11/2018,237.0,3
11/2018,916.0,4
11/2018,452.0,1
11/2018,276.0,1
11/2018,395.0,5
11/2018,332.01,2
11/2018,410.0,2
11/2018,341.0,2
11/2018,1144.0,1
11/2018,98.0,4
11/2018,70.0,3
11/2018,309.06,1
11/2018,680.0,2
11/2018,386.0,2
11/2018,517.0,1
11/2018,281.0,3
11/2018,1214.0,5
11/2018,996.0,1
11/2018,205.01,5
11/2018,330.0,3
11/2018,310.0,2
11/2018,75.0,3
11/2018,207.01,1
11/2018,1208.01,4
11/2018,129.01,8
11/2018,192.0,3
11/2018,220.0,2
11/2018,33.0,3
11/2018,391.0,4
11/2018,360.02,1
