Time,CensusTract,NumberOfReports
09/2018,111.0,4
09/2018,232.0,4
09/2018,25.0,14
09/2018,50.01,6
09/2018,1116.0,3
09/2018,345.0,8
09/2018,928.0,1
09/2018,41.0,4
09/2018,6.0,6
09/2018,528.0,2
09/2018,243.0,5
09/2018,547.0,1
09/2018,225.0,4
09/2018,40.03,3
09/2018,455.0,2
09/2018,982.0,8
09/2018,213.03,4
09/2018,145.0,11
09/2018,46.0,4
09/2018,233.0,3
09/2018,1367.0,2
09/2018,433.0,1
09/2018,83.0,7
09/2018,784.0,1
09/2018,766.0,2
09/2018,543.0,4
09/2018,288.0,1
09/2018,441.0,4
09/2018,1022.0,2
09/2018,60.0,3
09/2018,300.0,4
09/2018,1208.02,2
09/2018,170.0,4
09/2018,1.02,2
09/2018,365.01,2
09/2018,490.0,1
09/2018,80.0,2
09/2018,162.0,11
09/2018,1059.0,1
09/2018,173.0,9
09/2018,254.01,1
09/2018,516.0,1
09/2018,1118.0,4
09/2018,251.0,9
09/2018,327.0,3
09/2018,1176.02,1
09/2018,191.0,1
09/2018,1058.04,5
09/2018,570.0,3
09/2018,594.02,3
09/2018,986.0,1
09/2018,944.01,2
09/2018,20.01,3
09/2018,169.0,9
09/2018,129.01,6
09/2018,73.0,5
09/2018,150.02,1
09/2018,196.0,5
09/2018,779.05,1
09/2018,1579.03,3
09/2018,102.0,2
09/2018,973.0,2
09/2018,131.0,6
09/2018,59.0,1
09/2018,624.0,8
09/2018,30.0,1
09/2018,554.0,3
09/2018,76.0,2
09/2018,1124.0,1
09/2018,20.0,3
09/2018,434.0,6
09/2018,78.0,2
09/2018,294.0,6
09/2018,26.02,3
09/2018,1227.03,1
09/2018,92.0,4
09/2018,385.0,5
09/2018,94.0,3
09/2018,420.0,2
09/2018,95.0,1
09/2018,565.0,1
09/2018,182.0,4
09/2018,199.0,7
09/2018,220.0,4
09/2018,900.0,5
09/2018,26.01,6
09/2018,189.02,1
09/2018,285.0,7
09/2018,884.0,3
09/2018,223.02,2
09/2018,234.0,3
09/2018,427.0,1
09/2018,253.0,5
09/2018,98.0,5
09/2018,185.01,4
09/2018,395.0,7
09/2018,925.0,2
09/2018,1227.02,3
09/2018,387.0,6
09/2018,183.0,4
09/2018,39.0,8
09/2018,400.0,1
09/2018,1134.0,2
09/2018,66.0,9
09/2018,181.01,3
09/2018,212.0,3
09/2018,508.0,1
09/2018,552.0,4
09/2018,116.0,5
09/2018,184.0,3
09/2018,1110.0,2
09/2018,698.0,1
09/2018,912.0,2
09/2018,36.01,5
09/2018,23.0,4
09/2018,61.0,2
09/2018,263.0,8
09/2018,796.01,1
09/2018,291.04,3
09/2018,946.0,1
09/2018,241.0,7
09/2018,170.11,1
09/2018,511.0,10
09/2018,992.0,1
09/2018,559.0,2
09/2018,47.0,5
09/2018,270.0,1
09/2018,206.0,5
09/2018,956.0,1
09/2018,22.0,1
09/2018,50.0,3
09/2018,680.0,3
09/2018,415.0,5
09/2018,154.01,6
09/2018,404.0,1
09/2018,158.02,3
09/2018,822.0,2
09/2018,870.0,1
09/2018,42.0,2
09/2018,347.0,6
09/2018,846.0,1
09/2018,158.0,1
09/2018,127.0,7
09/2018,236.0,3
09/2018,361.0,4
09/2018,70.0,3
09/2018,376.0,2
09/2018,830.0,4
09/2018,1502.0,2
09/2018,149.0,2
09/2018,143.0,3
09/2018,429.0,1
09/2018,123.01,4
09/2018,130.0,5
09/2018,118.0,2
09/2018,141.0,3
09/2018,462.07,7
09/2018,244.01,2
09/2018,792.01,2
09/2018,1291.04,2
09/2018,7.0,2
09/2018,238.0,3
09/2018,516.01,2
09/2018,424.0,3
09/2018,386.0,3
09/2018,393.0,3
09/2018,224.03,2
09/2018,443.01,1
09/2018,374.0,3
09/2018,164.0,1
09/2018,445.0,2
09/2018,27.0,1
09/2018,112.0,1
09/2018,2074.0,4
09/2018,938.0,1
09/2018,177.02,2
09/2018,136.02,7
09/2018,210.0,4
09/2018,132.0,4
09/2018,166.0,6
09/2018,218.0,3
09/2018,462.08,1
09/2018,431.02,2
09/2018,296.0,3
09/2018,1156.0,6
09/2018,998.0,1
09/2018,33.0,6
09/2018,367.0,1
09/2018,171.0,2
09/2018,31.02,1
09/2018,135.01,3
09/2018,279.0,9
09/2018,267.02,1
09/2018,146.02,7
09/2018,886.0,2
09/2018,74.0,7
09/2018,22.01,8
09/2018,1039.0,1
09/2018,4.0,4
09/2018,261.0,7
09/2018,902.0,1
09/2018,408.0,5
09/2018,674.0,2
09/2018,610.04,1
09/2018,549.0,2
09/2018,52.01,3
09/2018,328.0,8
09/2018,109.0,2
09/2018,45.0,9
09/2018,267.0,1
09/2018,776.0,2
09/2018,63.0,6
09/2018,179.02,1
09/2018,406.0,5
09/2018,356.0,1
09/2018,113.0,2
09/2018,108.01,2
09/2018,745.0,1
09/2018,460.0,2
09/2018,269.0,3
09/2018,179.01,4
09/2018,779.04,3
09/2018,84.0,1
09/2018,556.0,1
09/2018,896.0,1
09/2018,333.0,1
09/2018,161.0,3
09/2018,502.02,1
09/2018,245.01,3
09/2018,239.0,6
09/2018,444.0,1
09/2018,1277.0,2
09/2018,34.0,9
09/2018,16.0,2
09/2018,1429.0,1
09/2018,381.0,5
09/2018,200.0,1
09/2018,170.07,1
09/2018,86.0,1
09/2018,1471.0,2
09/2018,462.06,3
09/2018,1142.02,1
09/2018,421.0,3
09/2018,178.0,2
09/2018,1106.0,8
09/2018,368.0,1
09/2018,10.01,9
09/2018,268.0,1
09/2018,572.0,5
09/2018,30.02,2
09/2018,229.02,2
09/2018,124.0,2
09/2018,36.0,1
09/2018,390.0,1
09/2018,1529.02,1
09/2018,28.0,4
09/2018,180.0,6
09/2018,1214.0,2
09/2018,876.0,1
09/2018,22.02,4
09/2018,862.0,1
09/2018,924.0,1
09/2018,435.0,2
09/2018,1093.0,1
09/2018,348.0,3
09/2018,334.01,1
09/2018,892.01,1
09/2018,157.0,12
09/2018,1123.0,1
09/2018,832.0,2
09/2018,1032.02,2
09/2018,221.01,2
09/2018,223.0,3
09/2018,332.01,1
09/2018,1417.0,1
09/2018,319.01,2
09/2018,151.01,1
09/2018,1171.0,1
09/2018,252.0,1
09/2018,942.03,4
09/2018,48.0,2
09/2018,377.0,6
09/2018,342.0,3
09/2018,964.0,3
09/2018,85.0,5
09/2018,545.0,1
09/2018,820.0,5
09/2018,312.0,1
09/2018,535.0,2
09/2018,894.0,1
09/2018,72.0,4
09/2018,293.0,8
09/2018,335.0,4
09/2018,224.0,2
09/2018,129.02,4
09/2018,288.02,3
09/2018,226.0,3
09/2018,326.0,6
09/2018,62.01,1
09/2018,71.0,5
09/2018,126.01,4
09/2018,144.01,3
09/2018,121.01,2
09/2018,354.0,1
09/2018,998.01,1
09/2018,309.02,2
09/2018,235.0,2
09/2018,383.03,2
09/2018,1175.0,1
09/2018,69.0,6
09/2018,357.0,1
09/2018,394.0,1
09/2018,144.0,2
09/2018,401.0,2
09/2018,806.0,2
09/2018,198.0,5
09/2018,770.0,2
09/2018,1047.0,2
09/2018,555.0,2
09/2018,375.0,1
09/2018,55.0,1
09/2018,153.01,4
09/2018,349.01,3
09/2018,517.0,3
09/2018,93.0,1
09/2018,146.01,1
09/2018,244.02,2
09/2018,1291.02,1
09/2018,371.0,4
09/2018,527.0,2
09/2018,174.01,2
09/2018,134.0,6
09/2018,478.01,1
09/2018,202.0,2
09/2018,154.02,1
09/2018,37.0,2
09/2018,402.0,2
09/2018,1241.0,2
09/2018,389.0,5
09/2018,966.0,1
09/2018,696.01,1
09/2018,135.0,1
09/2018,373.0,2
09/2018,216.03,1
09/2018,215.02,3
09/2018,289.0,5
09/2018,168.0,3
09/2018,682.0,1
09/2018,1152.0,1
09/2018,220.01,1
09/2018,493.02,7
09/2018,277.0,6
09/2018,187.0,3
09/2018,311.0,4
09/2018,407.02,2
09/2018,396.0,4
09/2018,215.01,1
09/2018,512.0,3
09/2018,305.0,2
09/2018,451.01,1
09/2018,167.0,6
09/2018,183.02,5
09/2018,302.02,6
09/2018,86.03,1
09/2018,1220.0,1
09/2018,950.0,1
09/2018,33.02,2
09/2018,816.0,1
09/2018,248.0,1
09/2018,138.0,1
09/2018,76.01,1
09/2018,291.0,1
09/2018,187.01,1
09/2018,482.0,1
09/2018,351.0,1
09/2018,352.0,1
09/2018,589.0,1
09/2018,276.0,1
09/2018,99.0,1
09/2018,532.0,1
09/2018,440.0,3
09/2018,341.0,7
09/2018,93.01,2
09/2018,119.01,1
09/2018,757.01,1
09/2018,824.0,2
09/2018,462.01,1
09/2018,64.0,3
09/2018,516.02,2
09/2018,717.01,1
09/2018,990.0,1
09/2018,271.0,6
09/2018,115.0,1
09/2018,575.0,1
09/2018,150.0,2
09/2018,620.0,1
09/2018,655.01,1
09/2018,185.0,2
09/2018,1029.0,2
09/2018,310.0,1
09/2018,216.01,2
09/2018,126.0,1
09/2018,19.02,2
09/2018,428.0,2
09/2018,125.0,4
09/2018,197.0,2
09/2018,281.0,1
09/2018,53.02,2
09/2018,11.0,2
09/2018,227.0,3
09/2018,223.01,2
09/2018,318.0,1
09/2018,286.0,2
09/2018,128.04,2
09/2018,146.06,1
09/2018,618.0,2
09/2018,188.0,3
09/2018,216.0,4
09/2018,323.0,2
09/2018,339.0,1
09/2018,299.0,2
09/2018,882.0,4
09/2018,1078.0,2
09/2018,592.0,1
09/2018,920.0,1
09/2018,646.0,1
09/2018,388.0,2
09/2018,226.01,1
09/2018,1208.01,1
09/2018,2.0,3
09/2018,334.0,1
09/2018,1172.02,2
09/2018,425.0,4
09/2018,107.01,1
09/2018,207.01,1
09/2018,942.02,7
09/2018,1158.0,2
09/2018,553.0,1
09/2018,201.02,1
09/2018,303.02,1
09/2018,407.01,1
09/2018,151.02,1
09/2018,1181.0,1
09/2018,972.05,1
09/2018,413.0,1
09/2018,13.0,1
09/2018,1122.0,1
09/2018,1008.0,1
09/2018,369.01,1
09/2018,340.0,1
09/2018,77.0,2
09/2018,18.0,1
09/2018,693.0,1
09/2018,430.0,1
09/2018,97.0,2
09/2018,484.0,1
09/2018,9.0,3
09/2018,1198.0,2
09/2018,135.02,1
09/2018,303.01,1
09/2018,249.0,2
09/2018,260.0,5
09/2018,315.0,2
09/2018,30.01,2
09/2018,942.01,1
09/2018,916.04,2
09/2018,1014.0,2
09/2018,485.0,1
09/2018,871.0,2
09/2018,208.04,1
09/2018,120.0,2
09/2018,148.01,2
09/2018,1385.02,1
09/2018,2.01,2
09/2018,201.0,2
09/2018,626.0,2
09/2018,314.01,1
09/2018,936.0,2
09/2018,1182.02,1
09/2018,462.0,2
09/2018,1028.01,1
09/2018,809.0,1
09/2018,448.0,1
09/2018,1385.01,1
09/2018,769.01,1
09/2018,372.0,1
09/2018,156.03,1
09/2018,54.0,2
09/2018,356.02,1
09/2018,568.0,1
09/2018,579.0,2
09/2018,56.02,1
09/2018,63.02,1
09/2018,52.0,3
09/2018,337.0,2
09/2018,409.0,2
09/2018,58.0,1
09/2018,271.02,1
09/2018,291.02,2
09/2018,36.02,2
09/2018,203.0,1
09/2018,119.0,2
09/2018,419.0,2
09/2018,207.0,2
09/2018,142.0,2
09/2018,1237.0,2
09/2018,495.0,1
09/2018,5.01,1
09/2018,1028.02,2
09/2018,504.02,1
09/2018,814.0,2
09/2018,1098.0,3
09/2018,670.0,1
09/2018,1163.01,1
09/2018,1142.01,1
09/2018,126.02,2
09/2018,429.02,2
09/2018,233.02,1
09/2018,165.0,1
09/2018,1196.0,1
09/2018,477.0,1
09/2018,87.0,10
09/2018,99.01,1
09/2018,1174.0,1
09/2018,301.0,2
09/2018,551.0,1
09/2018,595.02,1
09/2018,174.02,1
09/2018,324.0,2
09/2018,146.07,5
09/2018,687.0,2
09/2018,253.01,1
09/2018,858.0,1
09/2018,153.0,1
09/2018,558.0,1
09/2018,56.01,1
09/2018,652.0,1
09/2018,40.02,1
09/2018,514.0,1
09/2018,1579.02,1
09/2018,1166.0,1
09/2018,997.04,1
09/2018,176.0,2
09/2018,170.13,1
09/2018,523.0,1
09/2018,32.0,3
09/2018,140.0,3
09/2018,59.02,4
09/2018,20.02,1
09/2018,38.0,3
09/2018,790.02,1
09/2018,1058.01,1
09/2018,610.02,1
09/2018,148.02,1
09/2018,538.0,1
09/2018,317.0,1
09/2018,155.02,1
09/2018,224.04,1
09/2018,916.03,1
09/2018,850.0,1
09/2018,1617.0,1
09/2018,103.0,1
09/2018,160.01,1
09/2018,360.01,1
09/2018,1144.0,1
09/2018,530.0,1
09/2018,243.02,3
09/2018,114.01,1
09/2018,207.02,1
09/2018,453.0,1
09/2018,1579.01,1
09/2018,508.03,1
09/2018,121.0,1
09/2018,779.03,1
09/2018,991.0,1
09/2018,504.0,1
09/2018,358.0,1
09/2018,213.0,2
09/2018,330.0,3
09/2018,456.0,2
09/2018,525.0,3
09/2018,981.0,1
09/2018,1033.0,1
09/2018,676.0,1
09/2018,1192.0,1
09/2018,184.01,1
09/2018,741.0,1
09/2018,88.0,3
09/2018,826.0,1
09/2018,329.0,1
09/2018,997.03,1
09/2018,214.0,1
09/2018,481.0,4
09/2018,89.0,1
09/2018,1008.01,1
09/2018,837.0,1
09/2018,149.02,1
09/2018,750.0,1
09/2018,117.0,1
09/2018,641.02,2
09/2018,137.0,5
09/2018,726.0,1
09/2018,702.01,1
09/2018,619.0,1
09/2018,237.0,1
09/2018,724.0,1
09/2018,539.01,2
09/2018,1139.0,1
09/2018,228.01,1
09/2018,583.0,1
09/2018,108.02,1
09/2018,229.01,1
09/2018,128.0,1
09/2018,774.0,1
09/2018,664.03,1
09/2018,391.0,1
09/2018,582.0,1
09/2018,446.01,1
09/2018,888.0,1
09/2018,277.01,1
09/2018,644.0,1
09/2018,591.0,1
09/2018,865.0,1
09/2018,880.0,1
09/2018,818.0,2
09/2018,571.0,1
09/2018,121.02,1
09/2018,918.0,1
09/2018,403.0,1
09/2018,384.0,1
09/2018,1194.0,1
09/2018,217.0,1
09/2018,804.0,1
09/2018,27.01,1
09/2018,274.0,1
09/2018,459.0,1
09/2018,349.02,1
09/2018,220.02,1
09/2018,890.0,1
09/2018,418.0,1
09/2018,170.12,1
09/2018,364.0,2
09/2018,1129.0,1
09/2018,439.0,1
09/2018,447.0,1
09/2018,1017.0,1
09/2018,775.0,1
09/2018,139.0,3
09/2018,291.06,1
09/2018,1551.01,1
09/2018,1072.02,1
09/2018,1010.02,1
08/2018,125.0,2
08/2018,24.0,8
08/2018,87.0,6
08/2018,342.0,6
08/2018,478.01,2
08/2018,216.0,5
08/2018,146.05,2
08/2018,36.02,1
08/2018,126.01,2
08/2018,358.0,2
08/2018,129.01,8
08/2018,251.0,8
08/2018,21.0,5
08/2018,71.0,9
08/2018,196.0,4
08/2018,50.0,4
08/2018,96.0,3
08/2018,45.0,3
08/2018,161.0,4
08/2018,4.0,3
08/2018,93.01,4
08/2018,230.0,3
08/2018,195.0,4
08/2018,68.0,5
08/2018,375.0,1
08/2018,910.0,16
08/2018,283.0,9
08/2018,32.0,3
08/2018,205.0,2
08/2018,245.0,5
08/2018,181.0,3
08/2018,133.0,8
08/2018,393.0,1
08/2018,227.0,4
08/2018,896.0,3
08/2018,1181.0,3
08/2018,266.02,5
08/2018,41.0,8
08/2018,279.0,9
08/2018,69.0,8
08/2018,77.0,3
08/2018,174.01,5
08/2018,136.02,2
08/2018,91.0,4
08/2018,374.0,3
08/2018,448.0,1
08/2018,193.0,7
08/2018,202.0,1
08/2018,417.0,5
08/2018,300.0,2
08/2018,179.0,3
08/2018,120.0,4
08/2018,114.0,1
08/2018,51.0,9
08/2018,453.0,1
08/2018,421.0,3
08/2018,184.0,2
08/2018,395.0,3
08/2018,1010.04,2
08/2018,415.0,3
08/2018,369.0,8
08/2018,156.01,1
08/2018,30.01,7
08/2018,212.0,3
08/2018,446.01,2
08/2018,462.09,2
08/2018,596.0,3
08/2018,261.0,5
08/2018,185.01,2
08/2018,1201.0,1
08/2018,1220.0,2
08/2018,269.0,4
08/2018,25.0,12
08/2018,147.0,1
08/2018,74.0,4
08/2018,563.01,2
08/2018,1241.0,1
08/2018,802.0,1
08/2018,179.02,1
08/2018,462.0,1
08/2018,34.0,5
08/2018,389.0,2
08/2018,85.0,9
08/2018,67.0,12
08/2018,273.0,4
08/2018,177.0,4
08/2018,39.0,12
08/2018,111.0,7
08/2018,858.0,1
08/2018,307.0,5
08/2018,232.0,4
08/2018,365.01,2
08/2018,235.02,3
08/2018,132.01,1
08/2018,247.0,3
08/2018,1160.0,1
09/2018,987.0,1
09/2018,1188.0,1
09/2018,115.02,1
09/2018,414.0,1
09/2018,132.01,1
09/2018,960.0,1
09/2018,231.0,1
09/2018,622.0,1
09/2018,55.02,1
09/2018,237.04,1
09/2018,31.01,1
09/2018,35.0,1
09/2018,889.02,1
09/2018,40.01,1
09/2018,177.01,1
09/2018,694.0,1
09/2018,679.0,1
08/2018,538.0,2
08/2018,516.01,2
08/2018,145.0,7
08/2018,8.0,7
08/2018,391.0,2
08/2018,78.0,5
08/2018,171.0,2
08/2018,23.0,9
08/2018,133.02,2
08/2018,575.0,2
08/2018,462.03,4
08/2018,168.0,2
08/2018,98.0,9
08/2018,40.01,4
08/2018,42.0,5
08/2018,62.02,1
08/2018,10.02,2
08/2018,118.0,4
08/2018,309.02,6
08/2018,241.0,5
08/2018,226.01,2
08/2018,572.0,6
08/2018,33.02,2
08/2018,1227.04,2
08/2018,167.0,4
08/2018,1210.0,3
08/2018,189.0,12
08/2018,225.0,5
08/2018,221.02,4
08/2018,495.0,2
08/2018,444.0,4
08/2018,357.02,1
08/2018,121.01,4
08/2018,244.01,2
08/2018,211.0,9
08/2018,55.0,2
08/2018,547.0,4
08/2018,810.0,2
08/2018,1467.0,2
08/2018,293.0,3
08/2018,255.0,5
08/2018,1085.0,4
08/2018,340.0,2
08/2018,129.02,3
08/2018,535.0,1
08/2018,1017.0,6
08/2018,102.0,2
08/2018,6.0,5
08/2018,89.0,3
08/2018,583.0,2
08/2018,264.0,1
08/2018,907.0,1
08/2018,36.01,3
08/2018,517.0,2
08/2018,499.0,5
08/2018,626.0,1
08/2018,830.0,2
08/2018,551.0,1
08/2018,236.0,5
08/2018,505.0,3
08/2018,348.0,4
08/2018,217.03,1
08/2018,177.02,2
08/2018,38.0,6
08/2018,134.0,2
08/2018,44.0,4
08/2018,414.0,3
08/2018,110.0,4
08/2018,239.0,5
08/2018,259.0,3
08/2018,796.01,2
08/2018,228.0,3
08/2018,889.02,2
08/2018,496.0,1
08/2018,383.0,3
08/2018,721.0,1
08/2018,908.0,4
08/2018,806.0,3
08/2018,737.0,1
08/2018,1176.01,1
08/2018,1033.0,3
09/2018,510.02,1
08/2018,208.0,5
08/2018,197.0,4
08/2018,10.01,4
08/2018,197.02,1
08/2018,15.02,2
08/2018,63.0,1
08/2018,991.0,1
08/2018,337.0,2
08/2018,277.0,5
08/2018,890.0,3
08/2018,2.02,10
08/2018,394.0,1
08/2018,312.0,1
08/2018,163.0,9
08/2018,656.0,1
08/2018,64.0,6
08/2018,387.0,1
08/2018,173.0,3
08/2018,380.0,2
08/2018,137.0,4
08/2018,2.0,6
08/2018,49.0,8
08/2018,169.0,7
08/2018,772.0,2
08/2018,381.0,4
08/2018,571.0,3
08/2018,99.02,1
08/2018,121.0,1
08/2018,146.02,2
08/2018,194.0,6
08/2018,170.14,1
08/2018,1190.0,1
08/2018,233.0,2
08/2018,694.0,1
08/2018,369.02,1
08/2018,139.0,2
08/2018,238.0,3
08/2018,206.01,1
08/2018,379.0,5
08/2018,1417.0,1
08/2018,1118.0,4
08/2018,319.01,1
08/2018,1059.0,3
08/2018,27.01,2
08/2018,462.07,5
08/2018,371.0,4
08/2018,81.0,4
08/2018,296.0,5
08/2018,229.01,2
08/2018,55.02,3
08/2018,388.0,2
08/2018,206.0,2
08/2018,179.01,1
08/2018,189.01,1
08/2018,59.02,2
08/2018,141.0,2
08/2018,223.01,1
08/2018,58.0,6
08/2018,30.02,2
08/2018,790.0,1
08/2018,467.0,1
08/2018,7.01,1
08/2018,494.0,1
08/2018,462.05,3
08/2018,403.03,2
08/2018,1039.0,1
08/2018,872.0,1
08/2018,201.02,6
08/2018,265.0,1
08/2018,639.0,1
08/2018,1104.0,11
08/2018,170.0,5
08/2018,162.0,7
08/2018,327.0,4
08/2018,48.0,1
08/2018,210.02,1
08/2018,469.02,1
08/2018,165.0,3
08/2018,892.0,5
08/2018,65.01,1
08/2018,964.0,5
08/2018,138.0,5
08/2018,233.01,5
08/2018,43.0,7
08/2018,383.03,1
08/2018,550.0,1
08/2018,187.0,1
08/2018,864.0,1
08/2018,147.01,5
08/2018,90.0,6
08/2018,345.0,2
08/2018,54.0,2
08/2018,944.01,3
08/2018,1156.0,2
08/2018,525.0,1
08/2018,183.0,3
08/2018,50.01,4
08/2018,332.01,1
08/2018,302.01,4
08/2018,294.0,5
08/2018,628.0,2
08/2018,323.0,2
08/2018,680.0,7
08/2018,286.0,1
08/2018,15.01,5
08/2018,442.0,3
08/2018,37.0,3
08/2018,311.0,6
08/2018,321.0,3
08/2018,26.01,5
08/2018,482.0,1
08/2018,245.01,3
08/2018,131.0,5
08/2018,309.06,1
08/2018,458.0,3
08/2018,888.0,1
08/2018,860.0,2
08/2018,440.0,1
08/2018,1106.0,3
08/2018,20.01,4
08/2018,177.01,2
08/2018,375.04,1
08/2018,219.0,8
08/2018,409.0,1
08/2018,347.0,3
08/2018,484.0,3
08/2018,906.0,2
08/2018,266.0,1
08/2018,762.0,1
08/2018,56.0,2
08/2018,972.02,1
08/2018,146.06,2
08/2018,1158.0,1
08/2018,1479.0,3
08/2018,1032.02,2
08/2018,1122.0,3
08/2018,1126.0,1
08/2018,93.0,3
08/2018,224.03,2
08/2018,22.02,3
08/2018,422.0,1
08/2018,373.0,3
08/2018,217.0,1
08/2018,190.0,4
08/2018,101.01,1
08/2018,303.0,3
08/2018,824.0,1
08/2018,72.0,5
08/2018,287.0,7
08/2018,511.0,1
08/2018,108.02,1
08/2018,293.01,1
08/2018,92.02,1
08/2018,871.0,1
08/2018,209.0,1
08/2018,146.04,1
08/2018,1267.0,1
08/2018,16.0,1
08/2018,151.01,3
08/2018,289.0,1
08/2018,127.0,6
08/2018,589.01,1
08/2018,582.0,3
08/2018,338.0,1
08/2018,76.0,2
08/2018,377.0,2
08/2018,29.01,3
08/2018,143.0,4
08/2018,302.02,8
08/2018,210.0,4
08/2018,382.0,5
08/2018,692.0,1
08/2018,750.0,1
08/2018,122.0,1
08/2018,343.0,4
08/2018,882.0,1
08/2018,822.0,1
08/2018,366.0,1
08/2018,106.01,3
08/2018,178.0,3
08/2018,213.03,4
08/2018,124.0,4
08/2018,149.0,5
08/2018,865.0,1
08/2018,363.0,7
08/2018,799.0,1
08/2018,216.02,2
08/2018,295.0,3
08/2018,291.0,5
08/2018,922.0,2
08/2018,245.02,1
08/2018,114.02,1
08/2018,276.0,2
08/2018,406.0,3
08/2018,101.0,5
08/2018,201.0,1
08/2018,175.0,4
08/2018,274.01,1
08/2018,180.0,3
08/2018,128.0,1
08/2018,329.0,1
08/2018,157.0,4
08/2018,164.0,1
08/2018,1116.0,1
08/2018,115.02,3
08/2018,59.0,5
08/2018,79.0,2
08/2018,553.0,5
08/2018,1167.0,1
08/2018,237.0,3
08/2018,65.0,3
08/2018,360.0,2
08/2018,132.0,4
08/2018,182.0,3
08/2018,105.0,1
08/2018,600.0,3
08/2018,1579.02,3
08/2018,62.01,1
08/2018,1142.02,1
08/2018,972.06,1
08/2018,754.0,1
08/2018,850.0,1
08/2018,356.02,1
08/2018,770.0,3
08/2018,998.01,1
08/2018,982.0,2
08/2018,166.0,3
08/2018,997.04,2
08/2018,863.0,1
08/2018,768.0,1
08/2018,1175.0,1
08/2018,66.0,4
08/2018,403.02,2
08/2018,413.0,1
08/2018,153.0,2
08/2018,361.0,2
08/2018,424.0,3
08/2018,386.0,2
08/2018,181.01,1
08/2018,1377.0,1
08/2018,330.0,4
08/2018,53.02,1
08/2018,514.0,2
08/2018,317.01,1
08/2018,151.0,3
08/2018,407.02,3
08/2018,200.0,2
08/2018,328.0,3
08/2018,62.0,1
08/2018,1120.0,1
08/2018,160.0,2
08/2018,359.0,4
08/2018,325.0,1
08/2018,84.0,2
08/2018,530.0,1
08/2018,1291.03,2
08/2018,266.01,2
08/2018,140.0,2
08/2018,117.0,2
08/2018,248.0,2
08/2018,563.02,4
08/2018,435.0,3
08/2018,472.0,1
08/2018,383.01,2
08/2018,929.0,1
08/2018,416.0,1
08/2018,396.0,3
08/2018,60.0,1
08/2018,800.0,2
08/2018,1214.0,4
08/2018,357.0,1
08/2018,660.0,1
08/2018,518.0,1
08/2018,53.01,2
08/2018,434.0,2
08/2018,404.0,2
08/2018,519.0,1
08/2018,95.0,5
08/2018,154.01,5
08/2018,253.0,2
08/2018,19.03,2
08/2018,53.0,1
08/2018,254.02,4
08/2018,436.0,1
08/2018,912.0,1
08/2018,1621.0,2
08/2018,973.0,3
08/2018,426.0,1
08/2018,333.0,1
08/2018,88.0,1
08/2018,231.0,3
08/2018,73.0,2
08/2018,1174.0,1
08/2018,224.0,5
08/2018,1215.0,1
08/2018,1579.01,3
08/2018,408.0,5
08/2018,462.08,1
08/2018,263.0,4
08/2018,229.02,3
08/2018,257.0,2
08/2018,1247.0,1
08/2018,682.0,1
08/2018,154.02,2
08/2018,186.0,4
08/2018,181.02,1
08/2018,1008.01,1
08/2018,65.02,1
08/2018,570.0,3
08/2018,40.03,1
08/2018,75.0,5
08/2018,238.02,1
08/2018,14.0,1
08/2018,501.0,1
08/2018,513.0,3
08/2018,207.01,1
08/2018,672.0,1
08/2018,119.0,4
08/2018,678.0,1
08/2018,100.0,3
08/2018,136.01,2
08/2018,86.0,1
08/2018,1147.0,1
08/2018,1029.0,2
08/2018,797.02,1
08/2018,1166.0,1
08/2018,427.0,2
08/2018,1163.02,1
08/2018,142.01,1
08/2018,508.04,1
08/2018,1.02,1
08/2018,260.0,2
08/2018,222.0,2
08/2018,650.0,2
08/2018,578.0,1
08/2018,1152.0,1
08/2018,220.0,2
08/2018,568.0,1
08/2018,586.0,1
08/2018,493.02,2
08/2018,153.01,1
08/2018,22.01,4
08/2018,950.0,4
08/2018,456.0,2
08/2018,226.0,2
08/2018,191.0,3
08/2018,83.0,5
08/2018,405.02,2
08/2018,144.02,3
08/2018,192.0,4
08/2018,334.0,2
08/2018,652.0,1
08/2018,981.0,1
08/2018,779.06,1
08/2018,1237.0,2
08/2018,352.0,2
08/2018,745.0,1
08/2018,94.01,1
08/2018,47.0,1
08/2018,990.0,1
08/2018,690.0,1
08/2018,638.0,1
08/2018,29.0,2
08/2018,460.0,1
08/2018,697.02,1
08/2018,285.0,2
08/2018,234.0,2
08/2018,235.01,5
08/2018,972.04,1
08/2018,818.0,1
08/2018,185.02,2
08/2018,57.0,1
08/2018,1571.02,1
08/2018,446.0,2
08/2018,309.04,1
08/2018,608.0,1
08/2018,319.02,1
08/2018,769.01,1
08/2018,2074.0,1
08/2018,544.0,1
08/2018,272.0,1
08/2018,900.0,2
08/2018,564.0,2
08/2018,132.03,1
08/2018,490.0,2
08/2018,326.0,4
08/2018,743.0,2
08/2018,5303.0,1
08/2018,249.0,3
08/2018,46.0,2
08/2018,1.01,1
08/2018,174.02,1
08/2018,549.0,2
08/2018,213.0,1
08/2018,942.02,2
08/2018,966.0,1
08/2018,184.01,1
08/2018,331.0,2
08/2018,235.0,1
08/2018,240.0,1
08/2018,267.0,1
08/2018,934.02,1
08/2018,11.0,1
08/2018,156.02,3
08/2018,244.02,1
08/2018,271.0,1
08/2018,528.0,2
08/2018,253.01,1
08/2018,1502.0,1
08/2018,932.0,1
08/2018,204.0,1
08/2018,392.0,1
