Time,Geoid,NumberOfReports
12/2018,36081115900,1
12/2018,36081049500,3
12/2018,36005020400,1
12/2018,36047069602,4
12/2018,36047038200,3
12/2018,36085027702,2
12/2018,36047006500,1
12/2018,36047024100,4
12/2018,36047002000,1
12/2018,36061023200,4
12/2018,36061003100,1
12/2018,36085017010,2
12/2018,36047052600,1
12/2018,36081071900,3
12/2018,36047034900,1
12/2018,36061027900,1
12/2018,36005004400,1
12/2018,36047032600,1
12/2018,36047056500,1
12/2018,36047115800,2
12/2018,36081041100,1
12/2018,36061029700,2
12/2018,36005029302,1
12/2018,36047000900,1
12/2018,36047034300,2
12/2018,36081101700,2
12/2018,36047031100,3
12/2018,36047046201,1
12/2018,36061022000,2
12/2018,36047020800,1
12/2018,36047026900,1
12/2018,36061013200,3
12/2018,36061012600,2
12/2018,36005016100,2
12/2018,36061011000,2
12/2018,36061011100,1
12/2018,36081010300,1
12/2018,36061031100,1
12/2018,36061006500,5
12/2018,36005013300,3
12/2018,36005007600,1
12/2018,36005024300,1
12/2018,36061017100,2
12/2018,36005039300,3
12/2018,36061001001,1
12/2018,36047030700,4
12/2018,36047051400,1
12/2018,36081008800,1
12/2018,36061003601,2
12/2018,36047050400,1
12/2018,36047038300,4
12/2018,36047052300,3
12/2018,36047116200,2
12/2018,36005019700,4
12/2018,36047051100,1
12/2018,36061013100,1
12/2018,36047008800,1
12/2018,36005006300,2
12/2018,36081062600,2
12/2018,36047069000,1
12/2018,36081026400,1
12/2018,36081012100,1
12/2018,36081077904,2
12/2018,36005009300,3
12/2018,36061014601,1
12/2018,36081087100,3
12/2018,36047056400,1
12/2018,36081065702,1
12/2018,36085027704,1
12/2018,36081067700,2
12/2018,36047025300,1
12/2018,36081133300,3
12/2018,36081144100,2
12/2018,36005015300,1
12/2018,36085014604,1
12/2018,36061017900,1
12/2018,36047003300,3
12/2018,36085020801,2
12/2018,36081045400,2
12/2018,36081030903,3
12/2018,36081017900,1
12/2018,36061015802,1
12/2018,36047038500,2
12/2018,36005042902,2
12/2018,36061023700,1
12/2018,36047096600,2
12/2018,36047008200,3
12/2018,36081054900,3
12/2018,36081005300,1
12/2018,36047033000,1
12/2018,36081007500,1
12/2018,36081079701,1
12/2018,36047051200,2
12/2018,36081026500,2
12/2018,36047062200,1
12/2018,36061022400,3
12/2018,36081002400,1
12/2018,36081042700,1
12/2018,36061007000,1
12/2018,36081070300,1
12/2018,36081055700,1
12/2018,36047041300,1
12/2018,36005025100,2
12/2018,36061003300,5
12/2018,36005031000,1
12/2018,36061019500,1
12/2018,36061007600,1
12/2018,36047000100,1
12/2018,36047004500,1
12/2018,36061027100,3
12/2018,36081019200,1
12/2018,36005041100,2
12/2018,36047014900,1
12/2018,36081025100,1
12/2018,36081058500,2
12/2018,36047037401,1
12/2018,36081033000,1
12/2018,36061005200,1
12/2018,36005034400,1
12/2018,36061004100,2
12/2018,36047052900,1
12/2018,36005033400,1
12/2018,36081066400,2
12/2018,36061015100,1
12/2018,36005022800,2
12/2018,36005013800,4
12/2018,36005037400,2
12/2018,36081025800,1
12/2018,36047094402,1
12/2018,36061018200,2
12/2018,36047118400,1
12/2018,36061014300,3
12/2018,36061002100,2
12/2018,36047035100,1
12/2018,36047028300,3
12/2018,36061019300,1
12/2018,36047051300,3
12/2018,36081097204,4
12/2018,36047026100,2
12/2018,36081015500,1
12/2018,36081077907,3
12/2018,36005036300,4
12/2018,36047037100,2
12/2018,36081084602,1
12/2018,36081061601,1
12/2018,36047036001,1
12/2018,36081134700,1
12/2018,36085012805,1
12/2018,36061007300,2
12/2018,36047057500,1
12/2018,36081015100,1
12/2018,36047026300,3
12/2018,36081077905,1
12/2018,36005023704,1
12/2018,36047112600,2
12/2018,36047100600,1
12/2018,36005022102,1
12/2018,36081026000,1
12/2018,36047070000,1
12/2018,36005005002,1
12/2018,36061021500,2
12/2018,36047051001,2
12/2018,36081012500,1
12/2018,36047021400,1
12/2018,36047004700,2
12/2018,36081046600,1
12/2018,36061015400,4
12/2018,36005019900,2
12/2018,36081012400,2
12/2018,36005022300,2
12/2018,36005022101,1
12/2018,36005019300,3
12/2018,36047024900,1
12/2018,36047119600,1
12/2018,36005023302,2
12/2018,36047013900,1
12/2018,36047050600,2
12/2018,36047112200,5
12/2018,36005025500,2
12/2018,36047122000,5
12/2018,36061017700,1
12/2018,36061004500,3
12/2018,36081018101,1
12/2018,36081013400,2
12/2018,36085017005,1
12/2018,36047043800,1
12/2018,36005018302,2
12/2018,36047061002,1
12/2018,36047072000,1
12/2018,36081112300,2
12/2018,36081068000,1
12/2018,36081018402,1
12/2018,36061000800,2
12/2018,36047006200,1
12/2018,36081008500,1
12/2018,36005022902,2
12/2018,36085013800,3
12/2018,36081140901,1
12/2018,36047098800,1
12/2018,36047014300,2
12/2018,36081073700,1
12/2018,36061006600,2
12/2018,36005007500,3
12/2018,36061002400,5
12/2018,36061019200,1
12/2018,36081143500,1
12/2018,36047024600,1
12/2018,36081018102,1
12/2018,36061013800,2
12/2018,36081077906,4
12/2018,36047025700,2
12/2018,36047049700,1
12/2018,36085023100,1
12/2018,36081058100,1
12/2018,36047040300,1
12/2018,36081014100,1
12/2018,36005041900,1
12/2018,36047118201,1
12/2018,36081142900,1
12/2018,36081015600,2
12/2018,36047077000,3
12/2018,36005002000,1
12/2018,36061016300,1
12/2018,36061005501,1
12/2018,36081042400,1
12/2018,36047044300,1
12/2018,36005045600,1
12/2018,36061012400,1
12/2018,36047015100,1
12/2018,36047000501,1
12/2018,36047004600,1
12/2018,36005016700,2
12/2018,36047087200,2
12/2018,36061024100,1
12/2018,36081040200,1
12/2018,36047056300,3
12/2018,36081035700,1
12/2018,36081046000,1
12/2018,36047028700,3
12/2018,36047038100,2
12/2018,36047079601,1
12/2018,36047041700,1
12/2018,36005015100,3
12/2018,36081097202,1
12/2018,36085024800,1
12/2018,36005019400,1
12/2018,36047020700,1
12/2018,36061017402,2
12/2018,36005033700,1
12/2018,36047105804,1
12/2018,36081000600,1
12/2018,36081083700,1
12/2018,36047029900,1
12/2018,36081000700,2
12/2018,36047078200,1
12/2018,36047024500,1
12/2018,36047043200,1
12/2018,36005044200,1
12/2018,36005028700,1
12/2018,36085001100,1
12/2018,36047038800,2
12/2018,36081063301,1
12/2018,36081059100,1
12/2018,36081093800,2
12/2018,36047117202,1
12/2018,36005038302,3
12/2018,36061001402,3
12/2018,36047035700,1
12/2018,36005043100,2
12/2018,36081144700,1
12/2018,36047036600,1
12/2018,36047003600,1
12/2018,36005022901,2
12/2018,36081003300,3
12/2018,36061007400,1
12/2018,36081004300,1
12/2018,36005002702,1
12/2018,36005011900,1
12/2018,36081061800,1
12/2018,36085013201,1
12/2018,36047006600,1
12/2018,36047036100,1
12/2018,36081002200,2
12/2018,36047007700,1
12/2018,36047005900,2
12/2018,36047034700,1
12/2018,36081053900,1
12/2018,36047023400,2
12/2018,36061003002,4
12/2018,36081019600,2
12/2018,36047037300,1
12/2018,36005016400,1
12/2018,36047042600,1
12/2018,36085022600,1
12/2018,36081025400,3
12/2018,36005013500,1
12/2018,36005023501,1
12/2018,36061013400,5
12/2018,36005030701,1
12/2018,36061009400,2
12/2018,36047035900,1
12/2018,36047053900,1
12/2018,36061018800,1
12/2018,36047119200,1
12/2018,36081044000,1
12/2018,36047028800,1
12/2018,36047032800,3
12/2018,36047054900,1
12/2018,36005015500,2
12/2018,36047078600,1
12/2018,36047092400,3
12/2018,36085004000,4
12/2018,36047079802,1
12/2018,36081032900,1
12/2018,36081040300,1
12/2018,36005033800,1
12/2018,36047028502,1
12/2018,36081130100,1
12/2018,36085006700,1
12/2018,36005040800,2
12/2018,36081006201,1
12/2018,36061008100,3
12/2018,36005021601,2
12/2018,36061029100,1
12/2018,36085002001,1
12/2018,36061003800,2
12/2018,36081074500,1
12/2018,36005029700,2
12/2018,36005046202,1
12/2018,36047027500,1
12/2018,36081045700,1
12/2018,36061026500,1
12/2018,36081062500,1
12/2018,36081023600,1
12/2018,36081047900,1
12/2018,36085009602,2
12/2018,36081028900,2
12/2018,36081024600,1
12/2018,36005013100,2
12/2018,36085002002,1
12/2018,36081016800,2
12/2018,36081105900,1
12/2018,36081118100,1
12/2018,36047049600,1
12/2018,36047068000,1
12/2018,36047098200,2
12/2018,36005014900,2
12/2018,36061001300,1
12/2018,36005042500,2
12/2018,36047023500,2
12/2018,36047055800,1
12/2018,36047109800,1
12/2018,36061023300,3
12/2018,36061022200,1
12/2018,36085005900,1
12/2018,36047025400,1
12/2018,36005033000,1
12/2018,36085000800,1
12/2018,36085010500,1
12/2018,36005014500,2
12/2018,36005016300,1
12/2018,36081029500,1
12/2018,36061011600,1
12/2018,36047038600,2
12/2018,36005002701,1
12/2018,36081053601,1
12/2018,36005018500,1
12/2018,36047086200,1
12/2018,36061027700,2
12/2018,36081044601,2
12/2018,36081075702,1
12/2018,36047046202,1
12/2018,36047045000,1
12/2018,36081065900,1
12/2018,36081155102,1
12/2018,36081020400,1
12/2018,36081086500,2
12/2018,36081011400,1
12/2018,36047094401,2
12/2018,36005006500,2
12/2018,36081071304,1
12/2018,36047072200,3
12/2018,36061005800,2
12/2018,36047045300,1
12/2018,36081029700,1
12/2018,36081099701,1
12/2018,36081032000,1
12/2018,36047024000,2
12/2018,36081018401,1
12/2018,36005025200,2
12/2018,36005017300,1
12/2018,36081012301,1
12/2018,36047082400,1
12/2018,36047086800,1
12/2018,36085018702,1
12/2018,36081150702,2
12/2018,36047023300,2
12/2018,36061030300,2
12/2018,36047050500,1
12/2018,36061018000,1
12/2018,36005041800,1
12/2018,36047029400,1
12/2018,36081054500,1
12/2018,36005004200,1
12/2018,36081115500,1
12/2018,36005023703,1
12/2018,36081030600,1
12/2018,22101041400,1
12/2018,36005023502,1
12/2018,36081018501,1
12/2018,36005014400,4
12/2018,36047038700,1
12/2018,36005012701,1
12/2018,36061021600,1
12/2018,36061014402,2
12/2018,36005036901,1
12/2018,36047078800,1
12/2018,36061022800,1
12/2018,36081001800,1
12/2018,36081058200,1
12/2018,36047015900,1
12/2018,36047080600,2
12/2018,36081028200,2
12/2018,36081055600,1
12/2018,36061016900,1
12/2018,36047039900,2
12/2018,36085029102,2
12/2018,36005028300,3
12/2018,36081053401,2
12/2018,36081152902,2
12/2018,36047018800,1
12/2018,36005011000,1
12/2018,36081026200,1
12/2018,36005041400,2
12/2018,36081014700,1
12/2018,36085014607,1
12/2018,36047107000,1
12/2018,36061028700,1
12/2018,36047004300,1
12/2018,36081036600,1
12/2018,36061004000,3
12/2018,36081081400,1
12/2018,36047045600,1
12/2018,36081162100,2
12/2018,36081040000,1
12/2018,36005021700,2
12/2018,36081124100,1
12/2018,36047043600,1
12/2018,36081079200,1
12/2018,36081058000,1
12/2018,36005008300,1
12/2018,36047088400,2
12/2018,36047020100,2
12/2018,36085003600,1
12/2018,36085017600,1
12/2018,36047035500,1
12/2018,36061008000,1
12/2018,36061008300,1
12/2018,36081023000,1
12/2018,36061004700,1
12/2018,36047026700,1
12/2018,36081005900,1
12/2018,36047088800,2
12/2018,36061016600,1
12/2018,36047086600,1
12/2018,36005024502,1
12/2018,36047016300,1
12/2018,36005038900,1
12/2018,36005002500,1
12/2018,36047048600,1
12/2018,36005024501,2
12/2018,36047029700,1
12/2018,36047037700,1
12/2018,36061023000,2
12/2018,36081093402,1
12/2018,36081145102,1
12/2018,36081006502,1
12/2018,36047002901,2
12/2018,36005037900,1
12/2018,36085014700,1
12/2018,36047049100,1
12/2018,36061024000,1
12/2018,36081089200,1
12/2018,36081077903,1
12/2018,36047039200,1
12/2018,36005038800,1
12/2018,36081017100,1
12/2018,36061019600,1
12/2018,36081010701,1
12/2018,36005027402,1
12/2018,36081013500,1
12/2018,36061017401,1
12/2018,36047022600,1
12/2018,36047050900,1
12/2018,36047019900,1
12/2018,36085027705,1
12/2018,36081104700,1
12/2018,36081033900,1
12/2018,36081069000,2
12/2018,36047070201,1
12/2018,36061016700,1
12/2018,36047121000,2
12/2018,36047044600,1
12/2018,36047107800,1
12/2018,36005028100,1
12/2018,36047022800,1
12/2018,36061014500,1
12/2018,36047093800,1
12/2018,36061010900,1
12/2018,36081047300,1
12/2018,36081006501,1
12/2018,36061020300,1
12/2018,36081133900,1
12/2018,36047039400,1
12/2018,36047088200,1
12/2018,36047117601,1
12/2018,36081071100,1
12/2018,36005007100,1
12/2018,36047018100,1
12/2018,36047054300,1
12/2018,36061024301,1
12/2018,36081026100,1
12/2018,36061016100,1
12/2018,36081072100,1
12/2018,36081015300,1
12/2018,36047036200,1
12/2018,36047027100,1
12/2018,36047017000,1
12/2018,36047042700,1
12/2018,36081092500,2
12/2018,36047033900,1
12/2018,36047068200,1
12/2018,36047031702,1
12/2018,36061027300,1
12/2018,36081054200,1
12/2018,36081005400,1
12/2018,36085013400,1
12/2018,36047059000,1
12/2018,36047058200,1
12/2018,36081014900,2
12/2018,36081014000,1
12/2018,36005037300,1
12/2018,36047002200,1
12/2018,36061019702,1
12/2018,36081044301,1
12/2018,36047080200,1
12/2018,36081146300,1
12/2018,36047048800,1
12/2018,36005036000,1
12/2018,36047052500,1
12/2018,36047052000,1
12/2018,36047091600,1
12/2018,36047027900,1
12/2018,36005036502,1
12/2018,36085027302,1
12/2018,36047017100,1
12/2018,36081027000,1
12/2018,36061005000,1
12/2018,36005035800,1
12/2018,36081031700,1
12/2018,36081076901,1
12/2018,36081022002,1
12/2018,36061004800,1
12/2018,36047042100,1
11/2018,36005039700,2
11/2018,36005009000,4
11/2018,36005002800,1
11/2018,36061017900,2
11/2018,36085021300,1
11/2018,36081045400,1
11/2018,36047036300,6
11/2018,36005014900,4
11/2018,36085002100,3
11/2018,36085000900,2
11/2018,36047049300,6
11/2018,36047049800,1
11/2018,36005041400,5
11/2018,36047030500,2
11/2018,36005033600,5
11/2018,36085017300,1
11/2018,36081097300,2
11/2018,36047006600,1
11/2018,36005011000,4
11/2018,36081044601,1
11/2018,36061021100,12
11/2018,36061024500,4
11/2018,36081025400,3
11/2018,36061011900,3
11/2018,36005013500,1
11/2018,36061007200,7
11/2018,36081071304,3
11/2018,36061003001,6
11/2018,36005043500,5
11/2018,36061016900,4
11/2018,36061018900,6
11/2018,36047025100,4
11/2018,36081054900,3
11/2018,36047038300,10
11/2018,36005036100,3
11/2018,36005011900,6
11/2018,36061006200,3
11/2018,36047047200,1
11/2018,36005013100,4
11/2018,36061006300,3
11/2018,36081152901,3
11/2018,36085019700,3
11/2018,36047123700,4
11/2018,36047005300,5
11/2018,36047080200,2
11/2018,36047040300,2
11/2018,36061021500,1
11/2018,36061014402,4
11/2018,36047107000,3
11/2018,36061026500,4
11/2018,36085020801,2
11/2018,36047054500,2
11/2018,36061008100,6
11/2018,36005013200,4
11/2018,36047024000,3
11/2018,36047088800,2
11/2018,36005041300,2
11/2018,36047057500,3
11/2018,36061015100,2
11/2018,36081016900,2
11/2018,36005030200,8
11/2018,36047101000,1
11/2018,36047036001,1
11/2018,36061023000,2
11/2018,36085024401,1
11/2018,36047043100,4
11/2018,36081001900,1
11/2018,36047024200,1
11/2018,36047002200,1
11/2018,36061014300,4
11/2018,36081084900,1
11/2018,36005006500,2
11/2018,36061016700,4
11/2018,36047060000,3
11/2018,36061022102,1
11/2018,36061013700,5
11/2018,36061023400,5
11/2018,36047012600,1
11/2018,36061028500,4
11/2018,36061010800,1
11/2018,36081064600,2
11/2018,36005005100,11
11/2018,36005014500,5
11/2018,36061003800,4
11/2018,36047043500,3
11/2018,36047095400,3
11/2018,36047087800,1
11/2018,36061014602,3
11/2018,36005004300,5
11/2018,36047122000,3
11/2018,36061000600,7
11/2018,36005038000,3
11/2018,36005016000,2
11/2018,36081049600,1
12/2018,36047112400,1
12/2018,36005023900,2
12/2018,36047016900,1
12/2018,36085006400,1
12/2018,36005006200,1
12/2018,36047095400,1
12/2018,36005039100,1
12/2018,36047034100,1
12/2018,36047089800,1
12/2018,36047056000,1
12/2018,36085030302,1
12/2018,36047086400,1
12/2018,36061003900,1
11/2018,36061021800,2
11/2018,36047116400,2
11/2018,36005007900,4
11/2018,36061010000,2
11/2018,36061008300,1
11/2018,36005039000,2
11/2018,36061000202,4
11/2018,36047013600,1
11/2018,36081063800,2
11/2018,36047032600,3
11/2018,36081005700,1
11/2018,36047110600,5
11/2018,36047091000,14
11/2018,36061009000,1
11/2018,36061017401,3
11/2018,36085014608,1
11/2018,36047061600,1
11/2018,36061012800,1
11/2018,36047005601,1
11/2018,36061025300,3
11/2018,36061018000,3
11/2018,36085024800,2
11/2018,36061007800,1
11/2018,36081085300,1
11/2018,36047112200,1
11/2018,36081062000,2
11/2018,36085017700,2
11/2018,36061006600,4
11/2018,36005046201,25
11/2018,36047012700,5
11/2018,36047019600,1
11/2018,36085027702,1
11/2018,36085020804,1
11/2018,36005019900,2
11/2018,36061017500,2
11/2018,36005046202,2
11/2018,36081023500,2
11/2018,36081152902,1
11/2018,36061017200,4
11/2018,36047090600,1
11/2018,36047047800,4
11/2018,36081142900,1
11/2018,36081047300,1
11/2018,36047115600,1
11/2018,36081113300,5
11/2018,36005033400,1
11/2018,36047042800,1
11/2018,36047055500,1
11/2018,36061001501,2
11/2018,36047048200,1
11/2018,36081063200,1
11/2018,36061001402,2
11/2018,36085020700,3
11/2018,36047043600,1
11/2018,36047002100,6
11/2018,36005003900,3
11/2018,36081046200,5
11/2018,36061007100,1
11/2018,36047040900,1
11/2018,36061002400,6
11/2018,36005023900,2
11/2018,36081051000,1
11/2018,36047026700,1
11/2018,36047021500,3
11/2018,36061005800,2
11/2018,36047038100,2
11/2018,36085017010,1
11/2018,36005043100,3
11/2018,36081065600,2
11/2018,36061018500,2
11/2018,36081056800,6
11/2018,36081008700,5
11/2018,36047015900,1
11/2018,36061009200,3
11/2018,36081114100,2
11/2018,36081040500,2
11/2018,36081013800,1
11/2018,36081037100,2
11/2018,36047051900,1
11/2018,36061007300,2
11/2018,36061000800,3
11/2018,36047118202,2
11/2018,36005015900,1
11/2018,36047035300,3
11/2018,36047028700,2
11/2018,36061002201,1
11/2018,36047041900,3
11/2018,36005038700,2
11/2018,36061006700,2
11/2018,36047055000,1
11/2018,36005048400,1
11/2018,36047032100,2
11/2018,36081055100,1
11/2018,36085027705,1
11/2018,36081026600,1
11/2018,36085008100,10
11/2018,36047051400,2
11/2018,36061004300,2
11/2018,36081144100,1
11/2018,36005038301,1
11/2018,36005014701,4
11/2018,36005025100,2
11/2018,36005025500,2
11/2018,36047028900,3
11/2018,36047028300,1
11/2018,36081035200,1
11/2018,36005042000,2
11/2018,36047111800,4
11/2018,36005046000,4
11/2018,36061010200,2
11/2018,36005006900,3
11/2018,36047061004,1
11/2018,36081094202,6
11/2018,36005024100,2
11/2018,36005029302,6
11/2018,36061008200,1
11/2018,36005040701,1
11/2018,36047002000,1
11/2018,36061004900,5
11/2018,36061022900,4
11/2018,36061015200,3
11/2018,36047058400,2
11/2018,36081024300,1
11/2018,36061021703,1
11/2018,36047003000,1
11/2018,36061016200,5
11/2018,36061006500,3
11/2018,36061018800,2
11/2018,36061004200,1
11/2018,36061004000,6
11/2018,36085023100,1
11/2018,36047023300,1
11/2018,36047027900,1
11/2018,36081025302,1
11/2018,36047013000,2
11/2018,36085002900,4
11/2018,36005004600,3
11/2018,36005000400,1
11/2018,36081088400,1
11/2018,36005002000,6
11/2018,36047004300,1
11/2018,36005023704,1
11/2018,36005020200,1
11/2018,36061001300,4
11/2018,36005006700,5
11/2018,36005026900,1
11/2018,36061029500,2
11/2018,36061001200,1
11/2018,36081017100,2
11/2018,36005019700,2
11/2018,36081044602,1
11/2018,36081118700,1
11/2018,36081038302,1
11/2018,36061005400,1
11/2018,36061019100,4
11/2018,36081010100,2
11/2018,36061024302,3
11/2018,36005001900,2
11/2018,36081085900,1
11/2018,36061021400,2
11/2018,36081003300,2
11/2018,36005016700,4
11/2018,36081001400,1
11/2018,36047008000,1
11/2018,36061011202,2
11/2018,36061003200,7
11/2018,36081006202,1
11/2018,36085029104,1
11/2018,36081021900,1
11/2018,36005020000,1
11/2018,36005045800,3
11/2018,36005022404,1
11/2018,36061007400,4
11/2018,36047002300,2
11/2018,36047100600,2
11/2018,36047043400,3
11/2018,36061006100,1
11/2018,36047089200,2
11/2018,36081055300,1
11/2018,36061002601,3
11/2018,36047076600,1
11/2018,36081086100,1
11/2018,36081025301,1
11/2018,36085031902,2
11/2018,36081077904,2
11/2018,36047023100,4
11/2018,36081155102,1
11/2018,36047113400,5
11/2018,36047118400,1
11/2018,36005041900,6
11/2018,36005040800,4
11/2018,36061009900,9
11/2018,36061023200,5
11/2018,36005040100,4
11/2018,36061001800,2
11/2018,36061007700,4
11/2018,36061001600,2
11/2018,36005030100,2
11/2018,36081008800,1
11/2018,36047034200,6
11/2018,36047025700,2
11/2018,36081021200,1
11/2018,36081023200,1
11/2018,36047017700,2
11/2018,36005012701,3
11/2018,36047030700,6
11/2018,36047038500,1
11/2018,36005017300,1
11/2018,36081010500,1
11/2018,36047013900,1
11/2018,36047084000,2
11/2018,36061002900,2
11/2018,36081157102,2
11/2018,36061002602,4
11/2018,36061014802,1
11/2018,36005003800,1
11/2018,36047048100,1
11/2018,36081041300,2
11/2018,36081066400,1
11/2018,36081059500,3
11/2018,36081068200,1
11/2018,36047081600,1
11/2018,36085009700,1
11/2018,36081070700,1
11/2018,36081017600,1
11/2018,36047024900,2
11/2018,36047057400,1
11/2018,36061026300,1
11/2018,36047022600,1
11/2018,36047082600,2
11/2018,36061002800,4
11/2018,36005024600,1
11/2018,36061013400,4
11/2018,36061022400,6
11/2018,36061018100,1
11/2018,36085007000,1
11/2018,36047031900,1
11/2018,36061013500,1
11/2018,36047090000,2
11/2018,36085030301,2
11/2018,36081133300,3
11/2018,36005040502,6
11/2018,36047003400,3
11/2018,36047032900,1
11/2018,36061024200,8
11/2018,36005024300,3
11/2018,36081017400,1
11/2018,36081061200,1
11/2018,36081001800,2
11/2018,36047037900,7
11/2018,36081034700,2
11/2018,36047101400,3
11/2018,36081147100,1
11/2018,36081098100,1
11/2018,36081046700,2
11/2018,36061018700,1
11/2018,36005041800,1
11/2018,36081122701,6
11/2018,36081013500,1
11/2018,36005008500,4
11/2018,36061005600,3
11/2018,36061005502,3
11/2018,36061007900,1
11/2018,36047092400,3
11/2018,36047013500,2
11/2018,36061015400,2
11/2018,36061023700,3
11/2018,36047091600,4
11/2018,36005021900,2
11/2018,36005014300,1
11/2018,36047045200,1
11/2018,36081027600,1
11/2018,36005039500,3
11/2018,36047034700,2
11/2018,36005033201,2
11/2018,36005024000,3
11/2018,36047041000,2
11/2018,36047034100,2
11/2018,36047114400,1
11/2018,36061003400,7
11/2018,36061009800,2
11/2018,36047024500,2
11/2018,36005007000,2
11/2018,36047017900,2
11/2018,36081030902,1
11/2018,36081068000,2
11/2018,36005038600,2
11/2018,36047051700,1
11/2018,36081028100,2
11/2018,36047121400,5
11/2018,36047099600,1
11/2018,36061025700,2
11/2018,36005020501,5
11/2018,36005008300,2
11/2018,36081033000,2
11/2018,36005031000,2
11/2018,36081007500,1
11/2018,36047120800,5
11/2018,36005012901,5
11/2018,36061019200,2
11/2018,36061022000,1
11/2018,36061003300,3
11/2018,36047042500,2
11/2018,36047036002,1
11/2018,36085027706,1
11/2018,36081100802,3
11/2018,36005042600,4
11/2018,36081018300,2
11/2018,36047098200,4
11/2018,36081088901,3
11/2018,36061010900,2
11/2018,36047043000,1
11/2018,36061019701,2
11/2018,36005032800,2
11/2018,36081067900,1
11/2018,36061020300,1
11/2018,36081069400,2
11/2018,36061019400,2
11/2018,36061014500,1
11/2018,36061013900,4
11/2018,36061009100,2
11/2018,36061008900,1
11/2018,36061023501,5
11/2018,36081080900,3
11/2018,36005027900,2
11/2018,36005005001,3
11/2018,36005024501,1
11/2018,36005033202,1
11/2018,36061020901,3
11/2018,36081101001,2
11/2018,36085014604,2
11/2018,36047059200,1
11/2018,36005040302,2
11/2018,36047051300,2
11/2018,36047050202,1
11/2018,36061016600,9
11/2018,36005022403,3
11/2018,36005021100,2
11/2018,36061014700,1
11/2018,36081015802,1
11/2018,36005009300,5
11/2018,36047029400,1
11/2018,36061012400,1
11/2018,36085009601,2
11/2018,36005013300,2
11/2018,36061026900,2
11/2018,36081044302,1
11/2018,36005006400,3
11/2018,36061021900,4
11/2018,36005018400,1
11/2018,36081026000,1
11/2018,36005029600,3
11/2018,36005023301,4
11/2018,36081014100,1
11/2018,36081003700,2
11/2018,36047025200,2
11/2018,36081006501,1
11/2018,36047054900,2
11/2018,36085006400,1
11/2018,36081077906,3
11/2018,36061030900,3
11/2018,36005033500,2
11/2018,36061029300,2
11/2018,36085015100,1
11/2018,36047035200,2
11/2018,36005023800,2
11/2018,36047013400,1
11/2018,36005016900,2
11/2018,36061011100,1
11/2018,36081004500,2
11/2018,36005037800,1
11/2018,36005022300,1
11/2018,36081079900,2
11/2018,36047044900,1
11/2018,36085010500,1
11/2018,36047030300,4
11/2018,36047050803,4
11/2018,36085024700,1
11/2018,36005036901,5
11/2018,36005015700,1
11/2018,36047014100,1
11/2018,36005037400,4
11/2018,36047087200,1
11/2018,36085017005,3
11/2018,36081006300,3
11/2018,36061030300,2
11/2018,36061016400,2
11/2018,36047082200,4
11/2018,36047067000,1
11/2018,36081002500,3
11/2018,36081003200,1
11/2018,36081113900,1
11/2018,36061015900,2
11/2018,36085018100,1
11/2018,36005009600,2
11/2018,36061022302,1
11/2018,36061027900,1
11/2018,36047022700,3
11/2018,36061001401,3
11/2018,36085014605,1
12/2018,36047099000,1
12/2018,36047051002,1
12/2018,36047019500,1
12/2018,36085018901,1
12/2018,36081092900,1
12/2018,36005039500,1
12/2018,36047064800,1
11/2018,36047029300,1
11/2018,36081073100,4
11/2018,36005037504,1
11/2018,36047012100,1
11/2018,36047031300,1
11/2018,36005036000,1
11/2018,36061017402,4
11/2018,36005004200,1
11/2018,36005029301,3
11/2018,36061011000,7
11/2018,36005038800,1
11/2018,36081029400,2
11/2018,36081028200,1
11/2018,36081036700,1
11/2018,36085018901,3
11/2018,36081003400,1
11/2018,36081062400,1
11/2018,36061019500,1
11/2018,36081008500,1
11/2018,36047035100,1
11/2018,36081052800,1
11/2018,36047037300,1
11/2018,36081012200,1
11/2018,36005004800,1
11/2018,36081053401,1
11/2018,36081037700,1
11/2018,36085019800,1
11/2018,36061009300,1
11/2018,36005022800,2
11/2018,36047117602,1
11/2018,36047058000,1
11/2018,36061013800,1
11/2018,36047039500,2
11/2018,36081115500,4
11/2018,36047009200,1
11/2018,36081009500,1
11/2018,36061000900,9
11/2018,36005018500,2
11/2018,36085027704,1
11/2018,36047074600,1
11/2018,36061027300,3
11/2018,36081040400,1
11/2018,36081112300,1
11/2018,36047110400,5
11/2018,36081103300,2
11/2018,36005039100,2
11/2018,36005021302,3
11/2018,36081058200,1
11/2018,36047086800,1
11/2018,36081033700,1
11/2018,36005007200,1
11/2018,36061012000,1
11/2018,36061016300,3
11/2018,36005036300,1
11/2018,36061019600,4
11/2018,36005026702,1
11/2018,36047097400,1
11/2018,36061028300,1
11/2018,36047078800,1
11/2018,36061019000,3
11/2018,36081022002,2
11/2018,36061027700,2
11/2018,36081032000,1
11/2018,36047060800,1
11/2018,36061004700,2
11/2018,36005015100,3
11/2018,36047032500,1
11/2018,36047083600,1
11/2018,36047048500,1
11/2018,36061013300,2
11/2018,36047095000,1
11/2018,36061016800,1
11/2018,36047028502,1
11/2018,36081057700,2
11/2018,36081038100,1
11/2018,36047040600,2
11/2018,36047031100,3
11/2018,36061017000,7
11/2018,36047002901,4
11/2018,36081024000,1
11/2018,36047039100,1
11/2018,36047059402,1
11/2018,36061016100,3
11/2018,36005042500,2
11/2018,36047048000,1
11/2018,36081018900,1
11/2018,36061015300,1
