Time,Geoid,NumberOfReports
02/2017,36047057800,1
03/2017,36061015100,3
04/2017,36047039400,2
05/2017,36081043200,1
06/2017,36005005200,1
07/2017,36061019200,2
06/2017,36047040500,1
01/2017,36061009200,3
08/2017,36047009400,2
12/2017,36005017701,2
10/2017,36061024500,13
05/2017,36047051300,2
03/2017,36047088600,2
06/2017,36005021601,2
11/2017,36047031900,4
02/2017,36081103900,2
09/2017,36047033700,4
02/2017,36061016900,22
12/2017,36005008600,3
04/2017,36005017701,4
07/2017,36047013300,4
08/2017,36047088200,5
05/2017,36005039200,2
06/2017,36081018900,2
05/2017,36047031300,78
05/2017,36005013300,3
04/2017,36081014100,2
11/2017,36081074500,1
05/2017,36061014000,3
08/2017,36005021302,1
09/2017,36061013200,3
05/2017,36061004900,8
05/2017,36047006600,1
08/2017,36047015900,1
05/2017,36061007700,4
07/2017,36047035900,2
11/2017,36047045200,1
03/2017,36005015200,3
09/2017,36061017000,5
02/2017,36061017000,4
10/2017,36081077905,1
11/2017,36047051400,3
12/2017,36005034000,2
03/2017,36047098200,3
12/2017,36081018102,2
03/2017,36005034300,1
10/2017,36061023200,9
07/2017,36047079601,3
10/2017,36047024300,6
06/2017,36061021303,2
01/2017,36081016300,2
06/2017,36081059100,2
12/2017,36005014500,4
12/2017,36047115600,4
12/2017,36081080900,3
01/2017,36005046201,19
01/2017,36005038600,3
02/2017,36081006300,4
05/2017,36081029500,3
12/2017,36005039902,4
10/2017,36047032600,3
07/2017,36061010900,1
08/2017,36061003200,9
08/2017,36005033600,2
02/2017,36081014900,1
12/2017,36081014700,1
10/2017,36061023502,4
11/2017,36005004400,4
01/2017,36005004400,3
05/2017,36061014402,2
10/2017,36047059600,1
07/2017,36005023800,48
01/2017,36061024100,2
04/2017,36061002500,1
08/2017,36085006400,2
02/2017,36005028500,1
08/2017,36061014602,4
07/2017,36005038500,1
02/2017,36005013300,5
07/2017,36061017401,4
08/2017,36081006501,4
05/2017,36005005001,2
12/2017,36005019500,5
06/2017,36061003002,3
08/2017,36005006900,5
08/2017,36005004300,2
01/2017,36047080200,1
09/2017,36081100802,2
01/2017,36061023900,2
10/2017,36047042500,1
03/2017,36061016100,2
02/2017,36047098800,2
10/2017,36061013200,4
03/2017,36005006000,1
04/2017,36005040702,5
01/2017,36081012301,2
02/2017,36005028300,2
07/2017,36061024500,8
06/2017,36047055500,2
07/2017,36061023900,2
04/2017,36061004300,5
04/2017,36047021300,2
11/2017,36047032600,7
02/2017,36047032600,3
02/2017,36081071306,1
04/2017,36085017700,1
09/2017,36047051200,3
10/2017,36081014100,4
07/2017,36061016800,7
09/2017,36005009000,5
02/2017,36081077904,3
12/2017,36005017500,3
04/2017,36081015100,2
04/2017,36047042100,2
04/2017,36061013700,4
05/2017,36061007000,1
03/2017,36061026500,1
02/2017,36005030200,7
02/2017,36047075600,1
04/2017,36061021400,5
09/2017,36047059100,1
04/2017,36061001002,2
03/2017,36047023500,3
01/2017,36005039400,5
09/2017,36005007900,1
12/2017,36005016700,3
12/2017,36061018700,1
12/2017,36005015700,3
02/2017,36005004400,1
08/2017,36047005601,1
04/2017,36047014100,1
12/2017,36047080600,3
11/2017,36085027900,63
11/2017,36061013700,3
10/2017,36061000202,8
06/2017,36005026702,3
05/2017,36061007400,3
02/2017,36005025500,1
02/2017,36005036901,1
03/2017,36047030500,2
06/2017,36061018100,5
03/2017,36005042600,5
08/2017,36061003300,3
09/2017,36061003400,13
06/2017,36081002500,3
08/2017,36005043000,1
11/2017,36047049100,5
12/2017,36005002701,1
12/2017,36005038600,2
02/2017,36047092000,1
04/2017,36005006700,5
04/2017,36005004100,1
11/2017,36061003200,4
11/2017,36081043900,1
06/2017,36047017800,1
11/2017,36047021900,1
05/2017,36061018600,6
06/2017,36047120800,6
04/2017,36005005902,6
11/2017,36081097202,1
10/2017,36081115700,1
11/2017,36061007300,6
11/2017,36005043100,3
02/2017,36047028700,2
02/2017,36061011100,1
08/2017,36047096400,1
05/2017,36047032500,2
12/2017,36061003200,3
12/2017,36005003900,5
06/2017,36081006300,1
05/2017,36061023400,3
07/2017,36005001600,2
06/2017,36061017300,8
09/2017,36005038301,2
03/2017,36081091601,1
02/2017,36061007200,1
07/2017,36081091601,1
10/2017,36061013600,6
06/2017,36061022800,5
10/2017,36005026100,1
06/2017,36061000202,7
12/2017,36005019900,4
10/2017,36005040100,1
03/2017,36061007300,3
02/2017,36047048200,4
03/2017,36047123700,2
09/2017,36081133300,1
02/2017,36005005300,3
03/2017,36047152200,1
08/2017,36081018101,4
10/2017,36005038500,1
07/2017,36047087000,1
01/2017,36061001001,3
10/2017,36061022400,7
01/2017,36005024100,4
10/2017,36047024000,1
11/2017,36005005100,14
07/2017,36005031000,1
10/2017,36061016200,11
01/2017,36005015200,2
11/2017,36061023200,10
01/2017,36081025400,2
11/2017,36061016900,34
10/2017,36047054500,2
