Date,Hour,CensusTract,NumberOfReports
12/24/2018,16,25.0,1
12/24/2018,16,610.04,1
12/24/2018,16,170.0,1
12/24/2018,15,247.0,1
12/24/2018,15,568.0,1
12/24/2018,15,1208.01,1
12/24/2018,14,319.01,1
12/24/2018,14,127.0,1
12/24/2018,14,189.0,1
12/24/2018,13,217.03,1
12/24/2018,13,809.0,1
12/24/2018,13,253.01,1
12/24/2018,13,71.0,1
12/24/2018,13,342.0,1
12/24/2018,13,128.04,1
12/24/2018,13,780.0,1
12/24/2018,12,907.0,1
12/24/2018,12,189.0,1
12/24/2018,12,1227.04,1
12/24/2018,11,484.01,1
12/24/2018,11,302.01,1
12/24/2018,11,90.0,1
12/24/2018,11,780.0,1
12/24/2018,11,92.0,1
12/24/2018,11,390.0,1
12/24/2018,10,71.0,1
12/24/2018,10,399.02,1
12/24/2018,10,97.0,1
12/24/2018,10,426.0,1
12/24/2018,09,84.0,1
12/24/2018,09,234.0,1
12/24/2018,09,1116.0,1
12/24/2018,08,826.0,1
12/24/2018,08,97.0,1
12/24/2018,08,2.02,1
12/24/2018,07,516.01,1
12/24/2018,07,1156.0,1
12/24/2018,06,132.0,1
12/24/2018,04,830.0,1
12/24/2018,04,385.0,1
12/24/2018,02,227.03,1
12/24/2018,01,125.0,1
12/24/2018,00,253.01,1
12/23/2018,23,301.0,1
12/23/2018,23,247.0,1
12/23/2018,23,215.01,1
12/23/2018,22,210.0,1
12/23/2018,22,209.01,1
12/23/2018,22,279.0,1
12/23/2018,21,84.0,1
12/23/2018,21,45.0,1
12/23/2018,21,435.0,1
12/29/2018,14,1010.04,1
12/29/2018,14,1104.0,1
12/29/2018,14,99.01,1
12/29/2018,14,158.01,1
12/29/2018,12,908.0,1
12/29/2018,12,69.0,1
12/29/2018,11,141.0,1
12/29/2018,11,1106.0,1
12/29/2018,10,578.0,1
12/29/2018,10,219.0,1
12/29/2018,10,669.0,1
12/29/2018,10,516.02,1
12/29/2018,09,916.03,1
12/29/2018,09,286.0,1
12/29/2018,09,129.01,1
12/29/2018,08,910.0,1
12/29/2018,08,50.01,1
12/29/2018,08,1237.0,1
12/29/2018,07,906.0,1
12/29/2018,06,211.0,1
12/29/2018,04,319.0,1
12/29/2018,01,1164.0,1
12/29/2018,01,236.0,1
12/28/2018,23,10.0,1
12/28/2018,23,189.0,1
12/28/2018,23,428.0,1
12/28/2018,23,85.0,1
12/28/2018,22,1110.0,1
12/28/2018,22,583.0,1
12/28/2018,22,856.0,1
12/28/2018,22,162.0,1
12/28/2018,21,72.0,1
12/28/2018,21,201.0,1
12/28/2018,21,406.0,1
12/28/2018,20,1214.0,1
12/28/2018,20,162.0,1
12/28/2018,20,179.0,1
12/28/2018,19,375.04,1
12/28/2018,19,1032.01,1
12/28/2018,19,616.02,1
12/28/2018,19,85.0,1
12/28/2018,18,500.0,1
12/28/2018,18,189.0,1
12/28/2018,18,67.0,3
12/28/2018,17,276.0,1
12/28/2018,17,462.03,1
12/28/2018,16,414.02,1
12/28/2018,16,583.0,1
12/28/2018,16,26.01,1
12/28/2018,15,191.0,1
12/28/2018,15,16.0,1
12/28/2018,15,293.0,1
12/28/2018,15,55.02,1
12/28/2018,15,583.0,1
12/28/2018,15,303.01,1
12/28/2018,14,431.0,1
12/28/2018,14,231.0,1
12/28/2018,14,403.02,1
12/28/2018,13,115.02,1
12/28/2018,13,450.0,1
12/28/2018,13,49.0,1
12/28/2018,13,326.0,1
12/28/2018,12,492.01,1
12/28/2018,12,137.0,1
12/28/2018,12,224.03,1
12/28/2018,12,2.02,1
12/23/2018,21,172.0,1
12/23/2018,21,166.0,1
12/23/2018,20,462.03,1
12/23/2018,20,112.01,1
12/23/2018,20,387.0,1
12/23/2018,19,175.0,1
12/23/2018,19,405.01,1
12/23/2018,19,396.0,1
12/23/2018,18,243.0,1
12/23/2018,18,410.0,1
12/23/2018,18,259.0,1
12/23/2018,18,1227.03,1
12/23/2018,18,309.02,1
12/23/2018,18,1.01,1
12/23/2018,17,964.0,1
12/23/2018,17,766.0,1
12/23/2018,17,283.0,1
12/23/2018,11,302.02,1
12/23/2018,11,900.0,1
12/23/2018,08,18.0,1
12/23/2018,08,216.02,1
12/23/2018,07,1277.0,1
12/23/2018,03,59.02,1
12/23/2018,03,247.0,1
12/22/2018,23,229.0,1
12/22/2018,23,22.01,1
12/22/2018,22,251.0,1
12/22/2018,22,516.02,1
12/22/2018,21,261.0,1
12/22/2018,21,213.02,1
12/22/2018,21,6.0,1
12/22/2018,20,169.0,1
12/22/2018,20,136.02,1
12/22/2018,20,424.0,1
12/22/2018,19,269.0,1
12/22/2018,19,185.02,1
12/22/2018,19,33.0,1
12/22/2018,18,572.0,1
12/22/2018,17,261.0,1
12/22/2018,17,43.0,1
12/22/2018,17,49.0,1
12/22/2018,17,1159.0,1
12/22/2018,17,495.0,1
12/22/2018,17,67.0,1
12/22/2018,16,204.0,1
12/22/2018,16,69.0,1
12/22/2018,16,512.0,1
12/22/2018,15,93.0,1
12/22/2018,14,696.02,1
12/22/2018,14,59.02,1
12/22/2018,14,215.01,1
12/22/2018,14,382.0,1
12/22/2018,13,277.02,1
12/22/2018,13,65.0,1
12/22/2018,13,241.0,1
12/22/2018,13,20.0,1
12/22/2018,13,910.0,1
12/22/2018,13,232.0,1
12/22/2018,12,31.0,1
12/22/2018,12,209.01,1
12/22/2018,12,170.13,1
12/22/2018,12,444.0,1
12/22/2018,11,232.0,1
12/22/2018,11,526.0,1
12/22/2018,11,719.0,1
12/22/2018,11,349.01,1
12/22/2018,10,279.0,1
12/22/2018,10,44.0,1
12/22/2018,10,326.0,1
12/22/2018,09,382.0,2
12/22/2018,08,56.0,1
12/22/2018,08,7.0,1
12/22/2018,08,162.0,1
12/22/2018,07,910.0,1
12/22/2018,07,565.0,1
12/22/2018,03,1158.0,1
12/22/2018,01,516.01,1
12/22/2018,01,411.0,1
12/22/2018,00,297.0,1
12/21/2018,23,293.02,1
12/21/2018,23,9.0,1
12/21/2018,22,343.0,1
12/21/2018,22,293.0,1
12/21/2018,21,1017.0,1
12/21/2018,20,311.0,1
12/21/2018,20,462.01,1
12/21/2018,20,220.0,1
12/21/2018,20,208.0,1
12/21/2018,20,269.0,1
12/21/2018,19,127.0,1
12/21/2018,19,185.02,1
12/21/2018,18,132.01,1
12/21/2018,18,210.0,1
12/21/2018,18,126.02,1
12/21/2018,18,161.0,1
12/21/2018,18,910.0,1
12/21/2018,18,110.0,1
12/21/2018,17,111.0,1
12/21/2018,17,103.0,1
12/21/2018,17,311.0,1
12/21/2018,16,1032.01,1
12/21/2018,16,189.0,1
12/21/2018,16,61.0,1
12/21/2018,16,324.0,1
12/21/2018,15,65.0,1
12/21/2018,15,133.0,1
12/21/2018,15,1032.01,1
12/21/2018,15,319.02,1
12/21/2018,14,1409.02,1
12/21/2018,14,76.0,1
12/21/2018,14,34.0,1
12/21/2018,14,243.0,1
12/21/2018,14,285.0,1
12/21/2018,13,170.0,1
12/21/2018,13,171.0,1
